POINT_ID,longitude,latitude
40762372,6.929246912,44.413429799
40762376,6.927296097,44.449465569
40762378,6.926319463,44.467483077
40762380,6.925342011,44.485500333
40762382,6.924363739,44.503517339
40762384,6.923384647,44.521534094
40762386,6.922404734,44.5395506
40762388,6.921423999,44.557566856
40762420,6.905619609,44.845793393
40762422,6.904624746,44.863805476
40762424,6.903629043,44.881817318
40762426,6.902632499,44.899828918
40762428,6.901635113,44.917840278
40762430,6.900636885,44.935851397
40762432,6.899637812,44.953862277
40762434,6.898637895,44.971872917
40762436,6.897637132,44.989883319
40762438,6.896635522,45.007893482
40762440,6.895633064,45.025903407
40762442,6.894629757,45.043913094
40762444,6.893625601,45.061922544
40762446,6.892620593,45.079931757
40762448,6.891614733,45.097940734
40762450,6.890608021,45.115949475
40762452,6.889600455,45.13395798
40762514,6.857936737,45.692107226
40762516,6.856901299,45.710108426
40762518,6.855864973,45.728109404
40762520,6.854827757,45.746110162
40762522,6.853789651,45.764110699
40762524,6.852750654,45.782111017
40762526,6.851710764,45.800111115
40762528,6.85066998,45.818110994
40762530,6.849628301,45.836110654
40782360,6.960076056,44.306051634
40782362,6.959113825,44.324071436
40782364,6.958150789,44.342090984
40782366,6.957186948,44.360110277
40782368,6.956222301,44.378129317
40782370,6.955256847,44.396148104
40782372,6.954290585,44.414166638
40782374,6.953323514,44.43218492
40782376,6.952355633,44.450202951
40782378,6.951386942,44.46822073
40782380,6.950417438,44.486238258
40782382,6.949447122,44.504255535
40782384,6.948475992,44.522272563
40782386,6.947504047,44.540289341
40782388,6.946531287,44.558305869
40782390,6.94555771,44.57632215
40782392,6.944583315,44.594338181
40782422,6.929868638,44.86454916
40782424,6.928881032,44.882561279
40782426,6.927892591,44.900573157
40782428,6.926903316,44.918584794
40782430,6.925913204,44.936596191
40782432,6.924922255,44.954607349
40782434,6.923930468,44.972618267
40782436,6.922937843,44.990628947
40782438,6.921944377,45.008639388
40782440,6.92095007,45.026649592
40782442,6.919954921,45.044659558
40782444,6.91895893,45.062669288
40782446,6.917962094,45.08067878
40782448,6.916964413,45.098688037
40782450,6.915965886,45.116697058
40782452,6.914966513,45.134705844
40782454,6.913966291,45.152714395
40782514,6.88356024,45.692863904
40782516,6.882533221,45.710865392
40782518,6.88150532,45.728866659
40782520,6.880476537,45.746867705
40782522,6.879446871,45.764868532
40782524,6.878416321,45.782869139
40782526,6.877384885,45.800869526
40782528,6.876352563,45.818869695
40782530,6.875319353,45.836869646
40802358,6.986026418,44.288760512
40802360,6.985072873,44.306780836
40802362,6.984118531,44.324800905
40802364,6.983163392,44.34282072
40802366,6.982207454,44.360840281
40802368,6.981250717,44.378859589
40802370,6.980293179,44.396878645
40802372,6.97933484,44.414897447
40802374,6.978375698,44.432915998
40802376,6.977415754,44.450934297
40802378,6.976455004,44.468952345
40802380,6.97549345,44.486970143
40802382,6.97453109,44.50498769
40802384,6.973567922,44.523004988
40802386,6.972603947,44.541022036
40802388,6.971639162,44.559038835
40802390,6.970673568,44.577055386
40802392,6.969707163,44.595071688
40802394,6.968739946,44.613087743
40802396,6.967771916,44.631103551
40802398,6.966803073,44.649119112
40802400,6.965833415,44.667134427
40802422,6.955113132,44.865286758
40802424,6.954133622,44.883299152
40802426,6.953153286,44.901311304
40802428,6.952172121,44.919323216
40802430,6.951190127,44.937334889
