POINT_ID,longitude,latitude
45802022,13.07814016,41.250989744
45802026,13.079928207,41.287123802
45802032,13.0826156,41.341322414
45802036,13.084410752,41.377453177
45802038,13.085309398,41.395518066
45802044,13.088009622,41.449710771
45802056,13.093429433,41.558087384
45802058,13.094335254,41.576149018
45802070,13.099785366,41.684512053
45802088,13.108009631,41.847035006
45802090,13.108927096,41.865091524
45802094,13.110764232,41.901203612
45802102,13.114447344,41.97342401
45802106,13.116293333,42.009532328
45802112,13.119067877,42.063692462
45802114,13.119994211,42.081745217
45802118,13.121849113,42.117849796
45802128,13.126499438,42.208105829
45802130,13.12743175,42.226156111
45802132,13.128364813,42.244206086
45802136,13.130233195,42.280305116
45802144,13.133979008,42.35249951
45802146,13.134917351,42.370547348
45802154,13.138678309,42.442735665
45802156,13.139620449,42.460781989
45802166,13.144342595,42.551009095
45802170,13.14623681,42.58709784
45802172,13.147185069,42.605141765
45802176,13.149083894,42.641228721
45802180,13.150985801,42.677314489
45802188,13.154798889,42.749482476
45802190,13.155754097,42.767523736
45802192,13.156710083,42.785564702
45802194,13.157666845,42.803605374
45802200,13.160541807,42.857725635
45802202,13.161501688,42.875765137
45802204,13.162462351,42.893804349
45802206,13.163423796,42.911843269
45802210,13.165349038,42.94792024
45802216,13.168242794,43.002033526
45802218,13.169208954,43.02007071
45802222,13.171143642,43.056144217
45802224,13.172112171,43.07418054
45802228,13.174051605,43.110252327
45802230,13.175022512,43.128287792
45802236,13.17794,43.182392477
45802238,13.178914089,43.200426804
45802242,13.180864662,43.236494608
45802246,13.182818433,43.272561282
45802258,13.18869901,43.380754559
45802264,13.19165018,43.434847426
45802266,13.192635522,43.452877825
45802282,13.200547516,43.597111077
45802288,13.203527987,43.651194017
45802296,13.207513446,43.723300792
45802522,13.325792487,45.758632247
45802524,13.326890591,45.776630473
45802534,13.332395279,45.866618291
45802536,13.333499059,45.884615195
45802538,13.334603789,45.902611881
45802540,13.33570947,45.920608349
45802544,13.337923691,45.95660063
45802564,13.349052265,46.136549089
45802572,13.353530689,46.208522492
45802574,13.354652719,46.226515315
45802576,13.355775722,46.244507926
45802578,13.356899699,46.262500328
45802584,13.360277481,46.316476277
45802592,13.364794892,46.388441292
45802594,13.365926699,46.406432028
45802596,13.367059491,46.424422558
45802600,13.369328032,46.460403
45802602,13.370463784,46.478392914
45802610,13.375016695,46.550350527
45821616,12.932846694,37.575176283
45821626,12.936703012,37.665889175
